Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-06-24),Price Override,Watchlist,Date Added,Notes
SIRs,Pokemon,Twilight Masquerade,Greninja ex,214/167,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,400.2,0,FALSE,10/01/2026,
SIRs,Pokemon,Twilight Masquerade,Hearthflame Mask Ogerpon ex,212/167,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,12.82,0,FALSE,10/01/2026,
SIRs,Pokemon,Twilight Masquerade,Kieran,218/167,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,34.25,0,FALSE,10/01/2026,
SIRs,Pokemon,Twilight Masquerade,Lana's Aid,219/167,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,39.56,0,FALSE,10/01/2026,
SIRs,Pokemon,Twilight Masquerade,Perrin,220/167,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,185.87,0,FALSE,10/01/2026,
SIRs,Pokemon,Twilight Masquerade,Sinistcha ex,210/167,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,33.73,0,FALSE,10/01/2026,
SIRs,Pokemon,Twilight Masquerade,Teal Mask Ogerpon ex,211/167,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,28.83,0,FALSE,10/01/2026,
SIRs,Pokemon,Twilight Masquerade,Wellspring Mask Ogerpon ex,213/167,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,17.08,0,FALSE,10/01/2026,
SIRs,Pokemon,White Flare,Bouffalant ex,170/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,17.99,0,FALSE,10/01/2026,
SIRs,Pokemon,White Flare,Hilda,171/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,62.6,0,FALSE,10/01/2026,
SIRs,Pokemon,White Flare,Hydreigon ex,169/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,88.8,0,FALSE,10/01/2026,
SIRs,Pokemon,White Flare,Jellicent ex,168/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,30.77,0,FALSE,10/01/2026,
SIRs,Pokemon,White Flare,Keldeo ex,167/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,78.2,0,FALSE,10/01/2026,
SIRs,Pokemon,White Flare,Reshiram ex,166/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,214.44,0,FALSE,10/01/2026,
SIRs,Pokemon,White Flare,Whimsicott ex,165/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,30.11,0,FALSE,10/01/2026,
